internalTaxonId,conservationNeededCode,conservationNeededName
180528744,1.1,Site/area protection
180528744,2.1,Site/area management
17862,1.1,Site/area protection
166908,4.3,Awareness & communications
166908,2.1,Site/area management
166908,1.1,Site/area protection
188554,1.1,Site/area protection
188554,3.1.1,Harvest management
188554,3.1.2,Trade management
188565,1.1,Site/area protection
188582,3.1.1,Harvest management
188582,3.1.2,Trade management
188582,1.1,Site/area protection
193728,3.1.2,Trade management
193728,3.1.1,Harvest management
175371,2.1,Site/area management
56280,1.2,Resource & habitat protection
56280,1.1,Site/area protection
39393,3.1.1,Harvest management
39393,1.1,Site/area protection
39393,5.1.2,National level
39393,3.1.2,Trade management
39393,3.2,Species recovery
39393,5.4.2,National level
39390,5.1.2,National level
39390,3.1.2,Trade management
39390,1.1,Site/area protection
39390,3.1.1,Harvest management
39390,3.2,Species recovery
39390,5.4.2,National level
39390,4.2,Training
73743179,2.3,Habitat & natural process restoration
73743179,2.1,Site/area management
73743179,4.3,Awareness & communications
73743179,1.1,Site/area protection
15987,1.1,Site/area protection
15987,4.3,Awareness & communications
60134,3.1.1,Harvest management
60134,3.2,Species recovery
60134,5.1.2,National level
30900,3.4.2,Genome resource bank
30900,1.2,Resource & habitat protection
30900,3.4.1,Captive breeding/artificial propagation
133027,3.2,Species recovery
133027,3.4.1,Captive breeding/artificial propagation
133027,3.4.2,Genome resource bank
133027,2.1,Site/area management
133027,1.1,Site/area protection
133027,2.3,Habitat & natural process restoration
133141,1.1,Site/area protection
133141,2.3,Habitat & natural process restoration
133141,3.4.2,Genome resource bank
133141,2.1,Site/area management
133141,3.4.1,Captive breeding/artificial propagation
133141,3.2,Species recovery
133237,2.1,Site/area management
133237,3.4.2,Genome resource bank
133237,3.2,Species recovery
133237,3.4.1,Captive breeding/artificial propagation
133237,1.1,Site/area protection
133237,2.3,Habitat & natural process restoration
133395,2.3,Habitat & natural process restoration
133395,3.4.2,Genome resource bank
133395,2.1,Site/area management
133395,3.4.1,Captive breeding/artificial propagation
133395,3.2,Species recovery
133395,1.1,Site/area protection
133476,2.3,Habitat & natural process restoration
133476,1.1,Site/area protection
133476,2.1,Site/area management
133476,3.4.2,Genome resource bank
133476,3.2,Species recovery
133476,3.4.1,Captive breeding/artificial propagation
133594,2.3,Habitat & natural process restoration
133594,1.1,Site/area protection
133594,2.1,Site/area management
133594,3.4.2,Genome resource bank
133594,3.2,Species recovery
133594,3.4.1,Captive breeding/artificial propagation
133596,3.4.1,Captive breeding/artificial propagation
133596,3.4.2,Genome resource bank
133596,3.2,Species recovery
133596,2.1,Site/area management
133596,1.1,Site/area protection
133596,2.3,Habitat & natural process restoration
169783460,2.1,Site/area management
169783489,1.2,Resource & habitat protection
169783489,4.1,Formal education
169783489,4.3,Awareness & communications
169783489,5.1.2,National level
169783489,5.4.3,Sub-national level
22714696,1.1,Site/area protection
22714696,5.1.1,International level
22714696,3.3.1,Reintroduction
22714696,2.3,Habitat & natural process restoration
184746,1.1,Site/area protection
22713957,3.2,Species recovery
22713957,4.3,Awareness & communications
22713957,6.1,Linked enterprises & livelihood alternatives
22713957,2.1,Site/area management
22713957,2.3,Habitat & natural process restoration
14569,2.1,Site/area management
22680252,1.1,Site/area protection
22680252,2.1,Site/area management
44782,1.1,Site/area protection
44782,2.1,Site/area management
44782,3.1.1,Harvest management
44782,4.1,Formal education
44782,4.2,Training
44782,4.3,Awareness & communications
44782,1.2,Resource & habitat protection
44782,5.4.2,National level
44782,5.4.3,Sub-national level
44782,2.3,Habitat & natural process restoration
22680339,4.3,Awareness & communications
22680339,2.1,Site/area management
22680339,1.1,Site/area protection
22715162,1.1,Site/area protection
211665334,5.1.1,International level
22728020,2.1,Site/area management
22714454,1.2,Resource & habitat protection
22679881,1.1,Site/area protection
22679881,5.1.2,National level
22679881,2.1,Site/area management
216617275,3.2,Species recovery
216617275,1.1,Site/area protection
216617275,4.3,Awareness & communications
216617275,1.2,Resource & habitat protection
216617275,6.1,Linked enterprises & livelihood alternatives
216617275,2.1,Site/area management
216617275,2.3,Habitat & natural process restoration
22714757,2.3,Habitat & natural process restoration
177945543,1.1,Site/area protection
177945543,4.3,Awareness & communications
177945543,1.2,Resource & habitat protection
216556469,2.1,Site/area management
189958719,1.1,Site/area protection
189959900,1.1,Site/area protection
189959900,1.2,Resource & habitat protection
189959900,2.1,Site/area management
189959900,4.3,Awareness & communications
189958099,1.1,Site/area protection
189958099,1.2,Resource & habitat protection
189958099,2.1,Site/area management
189958099,4.3,Awareness & communications
216557227,2.1,Site/area management
218582764,4.2,Training
218582764,1.1,Site/area protection
218582764,4.1,Formal education
218582764,4.3,Awareness & communications
218582764,5.1.2,National level
218582764,5.4.3,Sub-national level
218582764,6.1,Linked enterprises & livelihood alternatives
218582764,6.2,Substitution
218582764,6.4,Conservation payments
218582764,6.5,Non-monetary values
218582764,2.1,Site/area management
219176408,1.2,Resource & habitat protection
