internalTaxonId,AOO.range,EOO.range,ElevationLower.limit,ElevationUpper.limit,YearOfPopulationEstimate.value
199057,,,,,
199080,,,,,
199083,,,,,
199085,,,,,
199098,,,,,
199100,,,,,
199109,,,,,
199132,,,,,
199144,,,,,
199168,,,,,
199173,,,,,
199176,,,,,
199184,,,,,
199197,,,,,
199204,,,,,
199211,,,,,
199212,,,,,
199222,,,,,
199225,,,,,
199236,,,,,
199238,,,,,
199246,,,,,
199248,,,,,
199254,,,,,
199258,,,,,
199263,,,,,
199274,,,,,
199276,,,,,
199277,,,,,
199286,,12000,,,
199289,,,,,
199290,,,,,
199292,,,,,
199293,,,,,
199304,,,,,
199315,,,,,
199320,,,,,
199321,,,,,
199329,,,,,
199330,,,,,
199340,,,,,
199341,,,,,
199343,,,,,
199353,,,,,
199354,,,,,
169300682,,241767,0.0,1500.0,
169300736,,195000,,,
169301207,,44669,,,
169301315,,18963,,,
169301370,,100000,,,
169301584,,281707,,,
180529390,,24197,,,
17846,,4126,,,2010.0
180447782,,42705,150.0,1500.0,
180526963,,49870,,,
180532100,,767260,,,
180529424,,91444,,,
180526965,,32853,,,
180531198,,15644,,,
180531176,,47911,1300.0,,
180447769,,11370,150.0,1500.0,
180447819,,32688,,,
180530862,,138681,,,
180531657,,220766,,,
180531678,,18000,,,
180529398,,,,,
16897,,,,,
180447821,,11918,,,
180447870,,25116,,,
180529385,,76476,700.0,1500.0,
180530339,,111000,1200.0,,
180528746,,105567,,,
180532129,,103090,1500.0,3000.0,
180447761,,106435,,1200.0,
180447825,,56084,,,
17848,,14881,0.0,,
180447763,,102585,,,
4825,,13929,,,
180531775,,,,,
180531219,,,,,
180531210,,5680,,,
180530329,,22698,,,
180529387,,33408,,,
2103,,1559,1000.0,1900.0,
180447858,,23000,,,
180447786,,9983,,,
180447595,,3008,,,
180530363,,,,,
180528744,,24580,,,
180525030,,1562,,,
180526431,,,1000.0,1500.0,
180447817,,7179,,,
17863,,9366,,,
180447751,,1425,,,
180526917,,61286,,,
180447834,,8220,,,
180448155,,,,,
180524150,,47943,,,
180447320,,108851,,,
180447754,,30122,,500.0,
180526894,,18470,,,
180526232,,551852,,,
180526935,,95779,,,
180526862,,47432,,,
180524160,,,,,
17862,,,,,
180447790,,104213,,,
180447885,,9298,,,
894,,113526,,,
207352996,,2000,,,
207351937,,130000,,,
207353084,,25413,,,
166908,,,,,
188334,,,,,
188339,,,,,
188341,,,,,
188342,,,,,
188346,,,,,
188349,,,,,
188357,,,,,
188363,,,,,
188378,,,,,
188380,,,,,
188389,,,,,
188399,,,,,
188404,,,,,
188433,,,,,
188442,,,,,
188458,,,,,
188459,,,,,
188462,,,,,
188465,,,,,
188473,,,,,
188489,,,,,
188492,,,,,
188512,,,,,
188516,,,,,
188529,,,,,
188536,,,,,
188543,,,,,
188544,,,,,
188554,,,,,
188565,,,,,
188567,,,,,
188568,,,,,
188574,,,,,
188582,,,,,
188585,,,,,
188597,,,,,
188600,,,,,
188604,,,,,
188606,,,,,
188627,,,,,
188628,,,,,
