internalTaxonId,researchNeededCode,researchNeededName
199083,1.3,Life history & ecology
199083,1.1,Taxonomy
199083,1.2,"Population size, distribution & trends"
199085,1.2,"Population size, distribution & trends"
199085,1.3,Life history & ecology
199085,1.5,Threats
199100,1.2,"Population size, distribution & trends"
199100,1.3,Life history & ecology
199100,1.5,Threats
199144,1.3,Life history & ecology
199144,1.2,"Population size, distribution & trends"
199144,1.5,Threats
199173,1.3,Life history & ecology
199173,1.2,"Population size, distribution & trends"
199173,1.5,Threats
199176,1.2,"Population size, distribution & trends"
199176,1.3,Life history & ecology
199176,1.5,Threats
199184,1.5,Threats
199184,1.3,Life history & ecology
199184,1.2,"Population size, distribution & trends"
199184,1.1,Taxonomy
199211,1.2,"Population size, distribution & trends"
199211,1.3,Life history & ecology
199211,1.5,Threats
199225,1.2,"Population size, distribution & trends"
199225,1.3,Life history & ecology
199225,1.5,Threats
199254,1.2,"Population size, distribution & trends"
199254,1.3,Life history & ecology
199254,1.5,Threats
199258,1.2,"Population size, distribution & trends"
199258,1.3,Life history & ecology
199258,1.5,Threats
199263,1.2,"Population size, distribution & trends"
199263,1.3,Life history & ecology
199263,1.5,Threats
199274,1.5,Threats
199274,1.3,Life history & ecology
199274,1.2,"Population size, distribution & trends"
199276,1.2,"Population size, distribution & trends"
199276,1.3,Life history & ecology
199276,1.5,Threats
199277,1.3,Life history & ecology
199277,1.2,"Population size, distribution & trends"
199277,1.5,Threats
199286,1.3,Life history & ecology
199286,1.2,"Population size, distribution & trends"
199286,1.5,Threats
199290,1.5,Threats
199290,1.3,Life history & ecology
199290,1.2,"Population size, distribution & trends"
199292,1.3,Life history & ecology
199292,1.2,"Population size, distribution & trends"
199292,1.5,Threats
199315,1.5,Threats
199315,1.3,Life history & ecology
199315,1.2,"Population size, distribution & trends"
199320,1.2,"Population size, distribution & trends"
199320,1.3,Life history & ecology
199320,1.5,Threats
199354,1.2,"Population size, distribution & trends"
199354,1.3,Life history & ecology
199354,1.5,Threats
180531198,1.1,Taxonomy
180531176,1.1,Taxonomy
180529398,1.2,"Population size, distribution & trends"
166908,1.4,"Harvest, use & livelihoods"
166908,1.5,Threats
166908,1.2,"Population size, distribution & trends"
188334,1.2,"Population size, distribution & trends"
188339,3.4,Habitat trends
188339,1.2,"Population size, distribution & trends"
188339,1.6,Actions
188341,1.2,"Population size, distribution & trends"
188342,1.4,"Harvest, use & livelihoods"
188342,3.4,Habitat trends
188342,3.1,Population trends
188346,3.4,Habitat trends
188346,1.4,"Harvest, use & livelihoods"
188346,1.2,"Population size, distribution & trends"
188349,1.2,"Population size, distribution & trends"
188357,1.6,Actions
188357,1.5,Threats
188357,1.4,"Harvest, use & livelihoods"
188357,1.3,Life history & ecology
188363,1.2,"Population size, distribution & trends"
188380,1.4,"Harvest, use & livelihoods"
188380,3.4,Habitat trends
188380,3.1,Population trends
188389,1.6,Actions
188389,1.4,"Harvest, use & livelihoods"
188389,3.4,Habitat trends
188389,3.1,Population trends
188399,1.2,"Population size, distribution & trends"
188404,3.1,Population trends
188404,1.3,Life history & ecology
188404,1.2,"Population size, distribution & trends"
188433,3.4,Habitat trends
188433,1.3,Life history & ecology
188433,1.2,"Population size, distribution & trends"
188442,1.3,Life history & ecology
188442,1.4,"Harvest, use & livelihoods"
188442,1.2,"Population size, distribution & trends"
188458,1.2,"Population size, distribution & trends"
188459,1.2,"Population size, distribution & trends"
188462,3.1,Population trends
188462,1.3,Life history & ecology
188462,1.5,Threats
188462,1.2,"Population size, distribution & trends"
188465,1.3,Life history & ecology
188465,1.2,"Population size, distribution & trends"
188473,1.2,"Population size, distribution & trends"
188489,1.2,"Population size, distribution & trends"
188489,1.1,Taxonomy
188492,1.3,Life history & ecology
188492,1.5,Threats
188492,1.2,"Population size, distribution & trends"
188512,3.1,Population trends
188512,3.4,Habitat trends
188512,1.2,"Population size, distribution & trends"
188516,1.6,Actions
188529,3.1,Population trends
188529,1.2,"Population size, distribution & trends"
188536,1.6,Actions
188536,1.4,"Harvest, use & livelihoods"
188543,1.6,Actions
188543,1.5,Threats
188543,1.4,"Harvest, use & livelihoods"
188554,3.4,Habitat trends
188554,3.1,Population trends
188554,3.2,Harvest level trends
188554,3.3,Trade trends
188554,1.1,Taxonomy
188554,1.2,"Population size, distribution & trends"
188554,1.3,Life history & ecology
188554,1.4,"Harvest, use & livelihoods"
188554,1.5,Threats
188565,3.4,Habitat trends
188565,1.2,"Population size, distribution & trends"
188565,3.1,Population trends
188567,1.2,"Population size, distribution & trends"
188568,3.1,Population trends
188568,3.4,Habitat trends
188568,1.2,"Population size, distribution & trends"
188574,1.6,Actions
188574,1.5,Threats
188574,1.4,"Harvest, use & livelihoods"
188574,1.3,Life history & ecology
188582,3.2,Harvest level trends
188582,3.1,Population trends
188582,1.3,Life history & ecology
188582,1.4,"Harvest, use & livelihoods"
188582,1.2,"Population size, distribution & trends"
188585,1.2,"Population size, distribution & trends"
188585,1.1,Taxonomy
188597,1.2,"Population size, distribution & trends"
188600,1.3,Life history & ecology
188600,1.2,"Population size, distribution & trends"
188604,3.1,Population trends
188604,3.4,Habitat trends
188604,1.2,"Population size, distribution & trends"
188606,1.2,"Population size, distribution & trends"
188627,1.2,"Population size, distribution & trends"
188628,1.2,"Population size, distribution & trends"
188628,1.3,Life history & ecology
190293,1.3,Life history & ecology
190293,1.2,"Population size, distribution & trends"
190293,1.5,Threats
193297,1.1,Taxonomy
193305,1.1,Taxonomy
199372,1.2,"Population size, distribution & trends"
199372,1.3,Life history & ecology
199372,1.5,Threats
199384,1.2,"Population size, distribution & trends"
199384,1.3,Life history & ecology
199384,1.5,Threats
193351,1.1,Taxonomy
193587,1.3,Life history & ecology
193587,1.2,"Population size, distribution & trends"
193587,1.4,"Harvest, use & livelihoods"
193629,1.3,Life history & ecology
193629,1.2,"Population size, distribution & trends"
193639,1.3,Life history & ecology
193639,1.2,"Population size, distribution & trends"
193639,1.5,Threats
193643,3.4,Habitat trends
193643,1.3,Life history & ecology
193643,1.2,"Population size, distribution & trends"
193643,1.5,Threats
193651,1.3,Life history & ecology
193651,1.2,"Population size, distribution & trends"
193652,1.3,Life history & ecology
193652,1.2,"Population size, distribution & trends"
193652,1.4,"Harvest, use & livelihoods"
193652,1.5,Threats
193683,1.3,Life history & ecology
193683,1.2,"Population size, distribution & trends"
193683,3.2,Harvest level trends
193684,1.3,Life history & ecology
193684,1.2,"Population size, distribution & trends"
193687,1.3,Life history & ecology
193687,1.2,"Population size, distribution & trends"
193687,1.4,"Harvest, use & livelihoods"
193687,1.5,Threats
193713,1.3,Life history & ecology
193713,1.2,"Population size, distribution & trends"
193713,1.5,Threats
193714,1.3,Life history & ecology
193714,1.2,"Population size, distribution & trends"
193714,1.4,"Harvest, use & livelihoods"
193714,1.5,Threats
193724,1.3,Life history & ecology
193724,1.2,"Population size, distribution & trends"
193724,1.4,"Harvest, use & livelihoods"
193728,1.3,Life history & ecology
193728,1.2,"Population size, distribution & trends"
193728,3.4,Habitat trends
193728,1.5,Threats
193740,3.2,Harvest level trends
193740,3.1,Population trends
193740,3.4,Habitat trends
193740,3.3,Trade trends
193740,1.3,Life history & ecology
193740,1.2,"Population size, distribution & trends"
193754,1.3,Life history & ecology
193754,1.2,"Population size, distribution & trends"
193791,1.3,Life history & ecology
193791,1.2,"Population size, distribution & trends"
193791,1.4,"Harvest, use & livelihoods"
193791,1.5,Threats
193794,1.3,Life history & ecology
193794,1.2,"Population size, distribution & trends"
193794,1.5,Threats
193811,1.3,Life history & ecology
193811,1.2,"Population size, distribution & trends"
193821,1.3,Life history & ecology
193821,1.2,"Population size, distribution & trends"
193821,1.5,Threats
194438,1.4,"Harvest, use & livelihoods"
194438,1.3,Life history & ecology
194438,1.2,"Population size, distribution & trends"
195642,3.4,Habitat trends
195642,1.3,Life history & ecology
195642,1.2,"Population size, distribution & trends"
195699,1.3,Life history & ecology
195699,1.2,"Population size, distribution & trends"
195699,3.1,Population trends
195703,1.2,"Population size, distribution & trends"
195703,1.3,Life history & ecology
195703,1.5,Threats
195791,1.3,Life history & ecology
195791,1.2,"Population size, distribution & trends"
195791,1.5,Threats
195817,3.4,Habitat trends
195817,1.3,Life history & ecology
195817,1.2,"Population size, distribution & trends"
195836,1.3,Life history & ecology
195836,1.2,"Population size, distribution & trends"
195836,1.5,Threats
198989,1.5,Threats
198989,1.3,Life history & ecology
198989,1.2,"Population size, distribution & trends"
198991,1.3,Life history & ecology
198991,1.2,"Population size, distribution & trends"
198991,1.5,Threats
199026,1.2,"Population size, distribution & trends"
199026,1.3,Life history & ecology
199026,1.5,Threats
199027,1.2,"Population size, distribution & trends"
199027,1.3,Life history & ecology
199027,1.5,Threats
155236,3.2,Harvest level trends
155215,1.4,"Harvest, use & livelihoods"
155215,3.2,Harvest level trends
175371,1.5,Threats
175371,1.3,Life history & ecology
175371,1.2,"Population size, distribution & trends"
199665,1.2,"Population size, distribution & trends"
199665,1.3,Life history & ecology
199665,1.5,Threats
199667,1.2,"Population size, distribution & trends"
199667,1.3,Life history & ecology
199667,1.5,Threats
44600678,1.5,Threats
44600678,1.3,Life history & ecology
44600678,1.2,"Population size, distribution & trends"
46079018,1.1,Taxonomy
39393,1.2,"Population size, distribution & trends"
39393,2.1,Species Action/Recovery Plan
39393,3.4,Habitat trends
39393,3.3,Trade trends
39393,3.2,Harvest level trends
39393,1.3,Life history & ecology
39393,1.4,"Harvest, use & livelihoods"
39393,3.1,Population trends
165812,1.2,"Population size, distribution & trends"
165812,1.3,Life history & ecology
67968659,1.2,"Population size, distribution & trends"
67968659,1.3,Life history & ecology
67968659,1.5,Threats
67968705,1.2,"Population size, distribution & trends"
67968705,1.3,Life history & ecology
67968705,1.5,Threats
67968922,1.2,"Population size, distribution & trends"
67968922,1.3,Life history & ecology
67968922,1.5,Threats
67968479,1.2,"Population size, distribution & trends"
67968479,1.3,Life history & ecology
67968479,1.5,Threats
67968571,1.2,"Population size, distribution & trends"
67968571,1.3,Life history & ecology
67968571,1.5,Threats
67970238,1.2,"Population size, distribution & trends"
67970238,1.3,Life history & ecology
67970238,1.5,Threats
39390,3.3,Trade trends
39390,3.4,Habitat trends
39390,2.1,Species Action/Recovery Plan
39390,1.3,Life history & ecology
39390,1.2,"Population size, distribution & trends"
39390,1.4,"Harvest, use & livelihoods"
39390,3.1,Population trends
39390,3.2,Harvest level trends
73743179,1.2,"Population size, distribution & trends"
73743179,3.4,Habitat trends
73743179,3.1,Population trends
74724049,1.2,"Population size, distribution & trends"
74724049,1.3,Life history & ecology
74724049,1.4,"Harvest, use & livelihoods"
74724049,1.5,Threats
189083,1.3,Life history & ecology
189083,1.2,"Population size, distribution & trends"
103707683,1.2,"Population size, distribution & trends"
103707683,1.3,Life history & ecology
103707683,1.5,Threats
15987,3.4,Habitat trends
15987,1.2,"Population size, distribution & trends"
15987,2.2,Area-based Management Plan
15987,3.1,Population trends
122542225,1.2,"Population size, distribution & trends"
122542225,1.5,Threats
4982,1.2,"Population size, distribution & trends"
4982,3.4,Habitat trends
4982,3.1,Population trends
4982,1.5,Threats
4982,1.3,Life history & ecology
60134,1.3,Life history & ecology
60134,3.1,Population trends
60134,1.2,"Population size, distribution & trends"
60134,1.4,"Harvest, use & livelihoods"
60134,2.1,Species Action/Recovery Plan
60134,3.2,Harvest level trends
60134,1.1,Taxonomy
