internalTaxonId,useCode,useName
199144,1,Food - human
199204,1,Food - human
199204,2,Food - animal
199212,3,Medicine - human & veterinary
199329,1,Food - human
199341,1,Food - human
169301584,15,Sport hunting/specimen collecting
16897,17,Other (free text)
180447870,17,Other (free text)
180528746,15,Sport hunting/specimen collecting
4825,17,Other (free text)
180528744,15,Sport hunting/specimen collecting
180447834,17,Other (free text)
166908,1,Food - human
188334,13,"Pets/display animals, horticulture"
188334,1,Food - human
188339,13,"Pets/display animals, horticulture"
188339,1,Food - human
188341,13,"Pets/display animals, horticulture"
188342,13,"Pets/display animals, horticulture"
188346,13,"Pets/display animals, horticulture"
188346,1,Food - human
188349,13,"Pets/display animals, horticulture"
188357,13,"Pets/display animals, horticulture"
188363,1,Food - human
188363,13,"Pets/display animals, horticulture"
188378,13,"Pets/display animals, horticulture"
188380,13,"Pets/display animals, horticulture"
188389,13,"Pets/display animals, horticulture"
188399,13,"Pets/display animals, horticulture"
188404,13,"Pets/display animals, horticulture"
188433,13,"Pets/display animals, horticulture"
188433,1,Food - human
188442,13,"Pets/display animals, horticulture"
188458,13,"Pets/display animals, horticulture"
188459,13,"Pets/display animals, horticulture"
188462,13,"Pets/display animals, horticulture"
188462,1,Food - human
188465,13,"Pets/display animals, horticulture"
188465,1,Food - human
188473,13,"Pets/display animals, horticulture"
188489,13,"Pets/display animals, horticulture"
188492,13,"Pets/display animals, horticulture"
188512,13,"Pets/display animals, horticulture"
188512,1,Food - human
188516,13,"Pets/display animals, horticulture"
188529,13,"Pets/display animals, horticulture"
188536,13,"Pets/display animals, horticulture"
188543,13,"Pets/display animals, horticulture"
188544,13,"Pets/display animals, horticulture"
188544,1,Food - human
188554,13,"Pets/display animals, horticulture"
188565,13,"Pets/display animals, horticulture"
188567,13,"Pets/display animals, horticulture"
188567,1,Food - human
188568,13,"Pets/display animals, horticulture"
188574,13,"Pets/display animals, horticulture"
188582,13,"Pets/display animals, horticulture"
188582,1,Food - human
188585,13,"Pets/display animals, horticulture"
188597,13,"Pets/display animals, horticulture"
188600,1,Food - human
188604,13,"Pets/display animals, horticulture"
188606,13,"Pets/display animals, horticulture"
188606,1,Food - human
188627,13,"Pets/display animals, horticulture"
188628,13,"Pets/display animals, horticulture"
193291,13,"Pets/display animals, horticulture"
193291,2,Food - animal
193297,13,"Pets/display animals, horticulture"
193299,13,"Pets/display animals, horticulture"
193299,1,Food - human
193305,13,"Pets/display animals, horticulture"
193305,1,Food - human
193308,2,Food - animal
193308,13,"Pets/display animals, horticulture"
193310,13,"Pets/display animals, horticulture"
193310,1,Food - human
199372,1,Food - human
193311,13,"Pets/display animals, horticulture"
193311,1,Food - human
193316,13,"Pets/display animals, horticulture"
193316,1,Food - human
193326,13,"Pets/display animals, horticulture"
193332,13,"Pets/display animals, horticulture"
193332,1,Food - human
193333,13,"Pets/display animals, horticulture"
193335,13,"Pets/display animals, horticulture"
193335,1,Food - human
193342,13,"Pets/display animals, horticulture"
193342,1,Food - human
193343,13,"Pets/display animals, horticulture"
193343,1,Food - human
193345,13,"Pets/display animals, horticulture"
193345,1,Food - human
193347,13,"Pets/display animals, horticulture"
193351,13,"Pets/display animals, horticulture"
193352,13,"Pets/display animals, horticulture"
193352,2,Food - animal
193363,13,"Pets/display animals, horticulture"
193366,13,"Pets/display animals, horticulture"
193373,13,"Pets/display animals, horticulture"
193393,13,"Pets/display animals, horticulture"
193393,1,Food - human
193397,13,"Pets/display animals, horticulture"
193399,13,"Pets/display animals, horticulture"
193401,13,"Pets/display animals, horticulture"
193401,1,Food - human
193587,1,Food - human
193587,13,"Pets/display animals, horticulture"
193629,13,"Pets/display animals, horticulture"
193629,1,Food - human
193639,13,"Pets/display animals, horticulture"
193639,1,Food - human
193643,13,"Pets/display animals, horticulture"
193643,1,Food - human
193651,1,Food - human
193651,13,"Pets/display animals, horticulture"
193651,2,Food - animal
193652,13,"Pets/display animals, horticulture"
193683,1,Food - human
193683,13,"Pets/display animals, horticulture"
193684,13,"Pets/display animals, horticulture"
193687,13,"Pets/display animals, horticulture"
193713,13,"Pets/display animals, horticulture"
193714,13,"Pets/display animals, horticulture"
193724,13,"Pets/display animals, horticulture"
193728,1,Food - human
193728,13,"Pets/display animals, horticulture"
193740,13,"Pets/display animals, horticulture"
193791,13,"Pets/display animals, horticulture"
193794,1,Food - human
193794,13,"Pets/display animals, horticulture"
193811,13,"Pets/display animals, horticulture"
193821,1,Food - human
193821,13,"Pets/display animals, horticulture"
194438,2,Food - animal
194438,1,Food - human
194443,1,Food - human
195791,1,Food - human
195817,1,Food - human
